Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
51,40,2023-02-01,32-358,GSW,@,MIN,L (-5),1,40:27,3,13,.231,2,7,.286,6,6,1.000,1,5,6,0,1,0,2,1,14,6.9,+2
52,,2023-02-02,32-359,GSW,@,DEN,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,41,2023-02-04,32-361,GSW,,DAL,W (+6),1,30:38,4,11,.364,2,6,.333,4,4,1.000,0,2,2,3,0,0,2,1,14,8.2,+3
54,42,2023-02-06,32-363,GSW,,OKC,W (+27),1,33:14,15,22,.682,12,16,.750,0,0,,0,3,3,1,0,0,4,1,42,29.8,+10
55,43,2023-02-08,33-000,GSW,@,POR,L (-3),1,37:53,12,28,.429,7,19,.368,0,0,,0,3,3,5,2,0,1,3,31,20.4,-6
56,44,2023-02-11,33-003,GSW,,LAL,L (-6),1,35:46,5,21,.238,3,13,.231,2,3,.667,0,3,3,3,1,0,0,2,15,5.1,-9
57,45,2023-02-13,33-005,GSW,,WAS,W (+9),1,35:56,10,21,.476,4,13,.308,3,4,.750,2,2,4,5,1,0,2,2,27,19.6,+2
58,46,2023-02-14,33-006,GSW,@,LAC,L (-10),1,28:28,7,14,.500,4,7,.571,0,1,.000,0,2,2,2,0,0,1,0,18,11.6,-9
59,47,2023-02-23,33-015,GSW,@,LAL,L (-13),1,26:40,8,19,.421,4,11,.364,2,2,1.000,1,1,2,0,2,0,1,1,22,13.5,-10
60,48,2023-02-24,33-016,GSW,,HOU,W (+15),1,35:32,12,19,.632,12,17,.706,6,6,1.000,0,7,7,1,0,0,2,0,42,34.3,+32
61,49,2023-02-26,33-018,GSW,,MIN,W (+5),1,32:58,12,23,.522,6,14,.429,2,2,1.000,0,5,5,4,0,0,3,3,32,20.8,+4
62,50,2023-02-28,33-020,GSW,,POR,W (+18),1,34:45,8,21,.381,3,7,.429,4,4,1.000,1,7,8,4,1,0,6,1,23,11.7,+7
63,51,2023-03-02,33-022,GSW,,LAC,W (+24),1,29:47,7,16,.438,3,8,.375,2,2,1.000,0,11,11,4,2,1,1,2,19,17.6,+16
64,52,2023-03-03,33-023,GSW,,NOP,W (+9),1,33:38,10,17,.588,4,9,.444,3,4,.750,0,1,1,4,1,0,1,0,27,21.8,+4
65,53,2023-03-05,33-025,GSW,@,LAL,L (-8),1,32:07,8,18,.444,4,10,.400,2,2,1.000,1,4,5,3,0,1,3,1,22,13.9,-27
66,54,2023-03-07,33-027,GSW,@,OKC,L (-9),1,39:40,9,17,.529,5,13,.385,0,0,,1,3,4,2,1,1,2,1,23,17.0,-10
67,55,2023-03-09,33-029,GSW,@,MEM,L (-21),1,27:46,6,14,.429,2,7,.286,0,0,,1,3,4,1,1,0,1,3,14,7.7,-19
68,56,2023-03-11,33-031,GSW,,MIL,W (+9),1,32:51,8,16,.500,4,9,.444,2,2,1.000,1,2,3,3,1,0,2,4,22,14.8,+11
69,57,2023-03-13,33-033,GSW,,PHO,W (+11),1,33:35,14,23,.609,8,14,.571,2,5,.400,1,4,5,0,1,1,1,0,38,28.9,+4
70,58,2023-03-15,33-035,GSW,@,LAC,L (-8),1,37:14,6,16,.375,3,8,.375,0,0,,0,3,3,2,0,1,1,2,15,7.4,0
