Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
70,54,2023-03-17,28-303,ATL,,GSW,W (+8),1,22:23,3,4,.750,0,0,,0,2,.000,4,5,9,2,0,2,0,0,6,10.7,+11
71,55,2023-03-19,28-305,ATL,@,SAS,L (-8),1,27:53,7,9,.778,0,0,,1,1,1.000,3,9,12,1,1,1,1,2,15,16.9,-6
72,56,2023-03-21,28-307,ATL,,DET,W (+22),1,25:17,6,7,.857,0,0,,0,2,.000,4,12,16,0,2,2,0,2,12,17.7,+23
73,57,2023-03-22,28-308,ATL,@,MIN,L (-1),1,29:04,5,6,.833,0,0,,1,1,1.000,3,5,8,3,0,0,0,2,11,13.7,-6
74,58,2023-03-25,28-311,ATL,,IND,W (+13),1,30:06,5,5,1.000,0,0,,7,8,.875,5,12,17,2,0,1,2,0,17,22.3,-2
75,59,2023-03-26,28-312,ATL,,MEM,L (-4),1,28:42,8,11,.727,0,0,,2,2,1.000,6,10,16,1,1,4,1,2,18,23.4,+3
76,60,2023-03-28,28-314,ATL,,CLE,W (+2),1,27:28,6,10,.600,0,0,,0,1,.000,3,7,10,2,0,0,2,3,12,9.4,-14
77,61,2023-03-31,28-317,ATL,@,BRK,L (-17),1,19:52,3,6,.500,0,0,,0,0,,2,4,6,0,1,0,0,2,6,5.8,-12
78,62,2023-04-02,28-319,ATL,,DAL,W (+2),1,32:19,6,9,.667,0,0,,2,2,1.000,1,10,11,1,2,0,1,4,14,13.9,0
79,63,2023-04-04,28-321,ATL,@,CHI,W (+18),1,25:56,5,6,.833,0,0,,3,4,.750,1,13,14,0,0,0,2,2,13,12.2,+15
80,64,2023-04-05,28-322,ATL,,WAS,W (+18),1,15:06,3,5,.600,0,0,,3,4,.750,4,4,8,0,1,3,1,4,9,10.8,+16
81,65,2023-04-07,28-324,ATL,,PHI,L (-5),1,32:29,5,6,.833,0,0,,2,6,.333,0,4,4,1,1,2,0,1,12,12.1,-13
82,,2023-04-09,28-326,ATL,@,BOS,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
